Date;Highest stock price (USD)
2021-01-30;34933
2021-01-29;38531.9
2021-01-28;33783.98
2021-01-27;32557.29
2021-01-26;32921.88
2021-01-25;34875
2021-01-24;33071
2021-01-23;33456
2021-01-22;33826.53
2021-01-21;35600
2021-01-20;36415.31
2021-01-19;37850
2021-01-18;37469.83
2021-01-17;36852.5
2021-01-16;37950
2021-01-15;39747.76
2021-01-14;40100
2021-01-13;37850
2021-01-12;36628
2021-01-11;38264.74
2021-01-10;41350
2021-01-09;41380
2021-01-08;41950
2021-01-07;40365
2021-01-06;36939.21
2021-01-05;34360
2021-01-04;33600
2021-01-03;34778.11
2021-01-02;33300
2021-01-01;29600
2020-12-31;29300
2020-12-30;28996
2020-12-29;27410
2020-12-28;27500
2020-12-27;28422
2020-12-26;26867.03
2020-12-25;24789.86
2020-12-24;23794.43
2020-12-23;24100
2020-12-22;23837.1
2020-12-21;24102.77
2020-12-20;24295
2020-12-19;24171.47
2020-12-18;23285.18
2020-12-17;23800
2020-12-16;21560
2020-12-15;19570
2020-12-14;19349
2020-12-13;19411
2020-12-12;18948.66
2020-12-11;18292.73
2020-12-10;18557.32
2020-12-09;18639.57
2020-12-08;19294.84
2020-12-07;19420.91
2020-12-06;19420
2020-12-05;19177
2020-12-04;19527
2020-12-03;19598
2020-12-02;19342
2020-12-01;19888
2020-11-30;19863.16
2020-11-29;18360.05
2020-11-28;17880.49
2020-11-27;17457.62
2020-11-26;18915.03
2020-11-25;19484.21
2020-11-24;19418.97
2020-11-23;18766
2020-11-22;18750
2020-11-21;18965.9
2020-11-20;18815.22
2020-11-19;18179.8
2020-11-18;18476.93
2020-11-17;17858.82
2020-11-16;16880
2020-11-15;16180
2020-11-14;16326.99
2020-11-13;16480
2020-11-12;16340.7
2020-11-11;15965
2020-11-10;15460
2020-11-09;15840
2020-11-08;15650
2020-11-07;15753.52
2020-11-06;15960
2020-11-05;15750
2020-11-04;14259
2020-11-03;14066.11
2020-11-02;13830
2020-11-01;13895
2020-10-31;14100
2020-10-30;13669.98
2020-10-29;13642.91
2020-10-28;13859.48
2020-10-27;13789.29
2020-10-26;13238.81
2020-10-25;13350
2020-10-24;13166.73
2020-10-23;13027.69
2020-10-22;13185
2020-10-21;13217.68
2020-10-20;12038.38
2020-10-19;11823.99
2020-10-18;11505
2020-10-17;11402.42
2020-10-16;11541.15
2020-10-15;11617.34
2020-10-14;11547.98
2020-10-13;11557
2020-10-12;11720.01
2020-10-11;11445
2020-10-10;11491
2020-10-09;11104.64
2020-10-08;10950
2020-10-07;10681.87
2020-10-06;10800
2020-10-05;10798
2020-10-04;10696.87
2020-10-03;10603.56
2020-10-02;10664.64
2020-10-01;10920
2020-09-30;10849.34
2020-09-29;10867.54
2020-09-28;10950
2020-09-27;10799
2020-09-26;10820.94
2020-09-25;10760.53
2020-09-24;10795.24
2020-09-23;10537.15
2020-09-22;10572.71
2020-09-21;10988.86
2020-09-20;11080.64
2020-09-19;11179.79
2020-09-18;11038.03
2020-09-17;11045.46
2020-09-16;11093
2020-09-15;10930.04
2020-09-14;10750
2020-09-13;10580.11
2020-09-12;10477.97
2020-09-11;10397.6
2020-09-10;10483.35
2020-09-09;10343
2020-09-08;10438
2020-09-07;10410.75
2020-09-06;10347.14
2020-09-05;10565.68
2020-09-04;10627.05
2020-09-03;11462.6
2020-09-02;11954.57
2020-09-01;12050.85
2020-08-31;11800.77
2020-08-30;11719
2020-08-29;11580.02
2020-08-28;11542.65
2020-08-27;11592.2
2020-08-26;11539.32
2020-08-25;11767.85
2020-08-24;11824.9
2020-08-23;11718.07
2020-08-22;11686
2020-08-21;11878
2020-08-20;11888
2020-08-19;12020.08
2020-08-18;12387.77
2020-08-17;12468
2020-08-16;11931.72
2020-08-15;11980
2020-08-14;11850
2020-08-13;11792.96
2020-08-12;11617.52
2020-08-11;11935
2020-08-10;12067.35
2020-08-09;11797.11
2020-08-08;11808.27
2020-08-07;11909.94
2020-08-06;11900
2020-08-05;11780.93
2020-08-04;11414.98
2020-08-03;11473
2020-08-02;12123.46
2020-08-01;11861
2020-07-31;11444
2020-07-30;11170
2020-07-29;11342.82
2020-07-28;11242.23
2020-07-27;11394.86
2020-07-26;10111
2020-07-25;9732.9
2020-07-24;9637
2020-07-23;9664
2020-07-22;9544
2020-07-21;9437.73
2020-07-20;9221.52
2020-07-19;9232.27
2020-07-18;9219.3
2020-07-17;9186.83
2020-07-16;9226.15
2020-07-15;9276.49
2020-07-14;9279.54
2020-07-13;9343.82
2020-07-12;9345
2020-07-11;9299.28
2020-07-10;9317.48
2020-07-09;9440.79
2020-07-08;9470
2020-07-07;9379.42
2020-07-06;9375
2020-07-05;9145.24
2020-07-04;9190
2020-07-03;9125
2020-07-02;9261.96
2020-07-01;9292
2020-06-30;9205
2020-06-29;9238
2020-06-28;9191
2020-06-27;9196.24
2020-06-26;9298
2020-06-25;9340
2020-06-24;9670
2020-06-23;9720
2020-06-22;9780
2020-06-21;9422
2020-06-20;9395
2020-06-19;9438.3
2020-06-18;9489
2020-06-17;9565
2020-06-16;9589
2020-06-15;9495
2020-06-14;9480.99
2020-06-13;9494.73
2020-06-12;9557.12
2020-06-11;9964
2020-06-10;9992.72
2020-06-09;9877
2020-06-08;9800
2020-06-07;9802
2020-06-06;9735
2020-06-05;9854.75
2020-06-04;9881.63
2020-06-03;9690
2020-06-02;10228.99
2020-06-01;10380
2020-05-31;9700
2020-05-30;9740
2020-05-29;9605.26
2020-05-28;9625.47
2020-05-27;9225
2020-05-26;9017.67
